subject.ID,Anterior_hippocampus,Posterior_hippocampus,MISC,Meninges_PHC,ERC,Br35,Br36,PHC,ColSul,OTSul,Meninges
sub-2484374_ses-PREFU12_run-001_T1w,2069.5,1921.25,114.5,219,776,713.5,2249.5,1260.25,429.25,205.75,409.75
sub-2496306_ses-PREBL00_run-001_T1w,1721,2100.25,78.75,91.75,575.75,689.5,2281.5,1070,431,30,404.5
sub-2496306_ses-PREEN00_run-001_T1w,1737.25,2065.25,78.25,95.25,621.25,667,2182.75,1042.5,447.25,12.75,379.5
sub-2496306_ses-PREFU12_run-001_T1w,1696.75,2117.75,91,112.75,622.75,642.75,2310.5,1058.25,479.5,28.5,413.25
sub-2599481_ses-PREBL00_run-001_T1w,1550.75,1916.75,146,255.25,511.75,515.5,1724.25,959.25,404,7.5,382
sub-2599481_ses-PREEN00_run-001_T1w,1438.75,1947.75,111.5,214.75,508.5,482,1614.75,1062,414.5,26,374.25
sub-2599481_ses-PREFU12_run-001_T1w,1554,1925.25,162.75,240,436.25,520.75,1693.5,983.75,453.5,400,
sub-2599481_ses-PREFU24_run-001_T1w,1561.25,1893.75,143.75,254.25,464.5,510.75,1706.5,951,416,6.25,379
sub-2599481_ses-PREFU36_run-001_T1w,1521.5,1860,170.75,247.75,445.5,503.25,1627.5,924.5,452,5,356.25
sub-2599481_ses-PREFU48_run-001_T1w,1505.25,1878.5,155.5,246.75,468.75,483.25,1636.5,941.25,435.5,3,335
sub-2623146_ses-PREBL00_run-001_T1w,1927.75,1684,22,92.5,649.5,710.25,2377,1009.75,529.5,187.5,440.25
sub-2623146_ses-PREEN00_run-001_T1w,1933.25,1655,14.75,95,629.25,696.25,2438.5,1015.5,518,164.5,404.25
sub-2623146_ses-PREFU12_run-001_T1w,1874,1691,27.75,108.5,634,685.75,2397.25,946.25,594.75,158.25,451.75
sub-2631883_ses-NAPBL00_run-001_T1w,1782.25,1569.75,1.5,57.75,701.5,746,1929.75,1243.25,182.75,184,275.25
